dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
operators,test_sparse55,pass,pass,2711000000.0,10041902.8,269.9687553239412
operators,test_sparse59,pass,pass,13302000000.0,249177619.0,53.38360665529917
operators,test_sparse60,pass,pass,9434000000.0,274167577.0,34.409612191305904
operators,test_sparse61,pass,pass,14593000000.0,277754655.0,52.539173465877646
operators,test_sparse76,pass,pass,224000000.0,113510281.0,1.9733895293590191
operators,test_sparse77,pass,pass,211000000.0,110359548.0,1.9119324410426182
operators,test_sparse78,pass,pass,493000000.0,217277139.0,2.2689915849821642
operators,test_sparse79,pass,pass,473000000.0,212535256.0,2.225513116750851
operators,test_sparse80,pass,pass,19031000000.0,334465227.0,56.89978647615885
operators,test_sparse82,error,pass,0.0,9652499.1,
operators,test_sparse84,pass,pass,900826.4,67014.0,13.4423612976393
operators,test_sparse85,pass,pass,918181.8,67891.4,13.524272588280697
operators,test_sparse86,pass,pass,900826.4,68218.6,13.204996877684385
operators,test_sparse87,pass,pass,918181.8,68247.6,13.453686283473704
operators,test_sparse88,pass,pass,918181.8,68249.2,13.453370882003014
operators,test_sparse89,pass,pass,884297.5,68517.4,12.90617419808691
operators,test_sparse90,pass,pass,900826.4,69479.8,12.965299266837267
operators,test_sparse91,pass,pass,909090.9,69405.7,13.09821671707079
operators,test_sparse92,pass,pass,927272.7,68623.1,13.512544609613961
operators,test_sparse93,pass,pass,945454.5,68542.4,13.793717465393685
operators,test_sparse94,pass,pass,901785.7,69363.9,13.000792919659938
operators,test_sparse95,pass,pass,892562.0,69051.4,12.926052187211267
operators,test_sparse96,pass,pass,876033.1,68403.5,12.806846140913843
operators,test_sparse97,pass,pass,866666.7,67858.8,12.771618419423861
operators,test_sparse98,pass,pass,936363.6,67507.9,13.870429979306126
operators,test_sparse99,pass,pass,892562.0,67549.0,13.213548683178137
random,test_seed1,pass,pass,54758.1,1726.6,31.71440982277308
signal,test_conv2_1,pass,pass,165625.0,14451.3,11.460906631237329
sparse,test_sparse1,pass,pass,892562.0,59711.1,14.948007991813919
sparse,test_sparse10,pass,pass,204081.6,18667.3,10.932571930595213
